date,equity,cash,open_positions
2024-09-10,75117.81013471568,75117.81013471568,0
2024-09-11,75117.81013471568,75117.81013471568,0
2024-09-12,75117.81013471568,75117.81013471568,0
2024-09-13,75117.81013471568,75117.81013471568,0
2024-09-16,75117.81013471568,75117.81013471568,0
2024-09-17,75117.81013471568,75117.81013471568,0
2024-09-18,75117.81013471568,75117.81013471568,0
2024-09-19,75117.81013471568,75117.81013471568,0
2024-09-20,75117.81013471568,75117.81013471568,0
2024-09-23,75117.81013471568,75117.81013471568,0
2024-09-24,75117.81013471568,75117.81013471568,0
2024-09-25,75117.81013471568,75117.81013471568,0
2024-09-26,75117.81013471568,75117.81013471568,0
2024-09-27,75117.81013471568,75117.81013471568,0
2024-09-30,75117.81013471568,75117.81013471568,0
2024-10-01,75117.81013471568,75117.81013471568,0
2024-10-02,75117.81013471568,75117.81013471568,0
2024-10-03,75117.81013471568,75117.81013471568,0
2024-10-04,75117.81013471568,75117.81013471568,0
2024-10-07,75117.81013471568,75117.81013471568,0
2024-10-08,75117.81013471568,75117.81013471568,0
2024-10-09,75117.81013471568,75117.81013471568,0
2024-10-10,75117.81013471568,75117.81013471568,0
2024-10-11,75117.81013471568,75117.81013471568,0
2024-10-14,75117.81013471568,75117.81013471568,0
2024-10-15,75117.81013471568,75117.81013471568,0
2024-10-16,75117.81013471568,75117.81013471568,0
2024-10-17,75117.81013471568,75117.81013471568,0
2024-10-18,75117.81013471568,75117.81013471568,0
2024-10-21,75117.81013471568,75117.81013471568,0
2024-10-22,75117.81013471568,75117.81013471568,0
2024-10-23,75117.81013471568,75117.81013471568,0
2024-10-24,75117.81013471568,75117.81013471568,0
2024-10-25,75117.81013471568,75117.81013471568,0
2024-10-28,75117.81013471568,75117.81013471568,0
2024-10-29,75117.81013471568,75117.81013471568,0
2024-10-30,75117.81013471568,75117.81013471568,0
2024-10-31,75117.81013471568,75117.81013471568,0
2024-11-01,75117.81013471568,75117.81013471568,0
2024-11-04,75117.81013471568,75117.81013471568,0
2024-11-05,75117.81013471568,75117.81013471568,0
2024-11-06,75117.81013471568,75117.81013471568,0
2024-11-07,75117.81013471568,75117.81013471568,0
2024-11-08,75117.81013471568,75117.81013471568,0
2024-11-11,75117.81013471568,75117.81013471568,0
2024-11-12,75117.81013471568,75117.81013471568,0
2024-11-13,75117.81013471568,75117.81013471568,0
2024-11-14,75117.81013471568,75117.81013471568,0
2024-11-15,75117.81013471568,75117.81013471568,0
2024-11-18,75117.81013471568,75117.81013471568,0
2024-11-19,75117.81013471568,75117.81013471568,0
2024-11-20,75117.81013471568,75117.81013471568,0
2024-11-21,75117.81013471568,75117.81013471568,0
2024-11-22,75117.81013471568,75117.81013471568,0
2024-11-25,75117.81013471568,75117.81013471568,0
2024-11-26,75117.81013471568,75117.81013471568,0
2024-11-27,75117.81013471568,75117.81013471568,0
2024-11-29,75117.81013471568,75117.81013471568,0
2024-12-02,75117.81013471568,75117.81013471568,0
2024-12-03,75117.81013471568,75117.81013471568,0
2024-12-04,75117.81013471568,75117.81013471568,0
2024-12-05,75117.81013471568,75117.81013471568,0
2024-12-06,75117.81013471568,75117.81013471568,0
2024-12-09,75117.81013471568,75117.81013471568,0
2024-12-10,75117.81013471568,75117.81013471568,0
2024-12-11,75117.81013471568,75117.81013471568,0
2024-12-12,75117.81013471568,75117.81013471568,0
2024-12-13,75117.81013471568,75117.81013471568,0
2024-12-16,75117.81013471568,75117.81013471568,0
2024-12-17,75117.81013471568,75117.81013471568,0
